Circuit_circuitId,Circuit_circuitName,Circuit_Location_locality
red_bull_ring,Red Bull Ring,Spielberg
red_bull_ring,Red Bull Ring,Spielberg
hungaroring,Hungaroring,Budapest
silverstone,Silverstone Circuit,Silverstone
silverstone,Silverstone Circuit,Silverstone
catalunya,Circuit de Barcelona-Catalunya,Montmeló
spa,Circuit de Spa-Francorchamps,Spa
monza,Autodromo Nazionale di Monza,Monza
mugello,Autodromo Internazionale del Mugello,Mugello
sochi,Sochi Autodrom,Sochi
nurburgring,Nürburgring,Nürburg
portimao,Autódromo Internacional do Algarve,Portimão
imola,Autodromo Enzo e Dino Ferrari,Imola
istanbul,Istanbul Park,Istanbul
bahrain,Bahrain International Circuit,Sakhir
bahrain,Bahrain International Circuit,Sakhir
yas_marina,Yas Marina Circuit,Abu Dhabi
bahrain,Bahrain International Circuit,Sakhir
imola,Autodromo Enzo e Dino Ferrari,Imola
portimao,Autódromo Internacional do Algarve,Portimão
catalunya,Circuit de Barcelona-Catalunya,Montmeló
monaco,Circuit de Monaco,Monte-Carlo
baku,Baku City Circuit,Baku
ricard,Circuit Paul Ricard,Le Castellet
red_bull_ring,Red Bull Ring,Spielberg
red_bull_ring,Red Bull Ring,Spielberg
silverstone,Silverstone Circuit,Silverstone
hungaroring,Hungaroring,Budapest
spa,Circuit de Spa-Francorchamps,Spa
zandvoort,Circuit Park Zandvoort,Zandvoort
monza,Autodromo Nazionale di Monza,Monza
sochi,Sochi Autodrom,Sochi
istanbul,Istanbul Park,Istanbul
americas,Circuit of the Americas,Austin
rodriguez,Autódromo Hermanos Rodríguez,Mexico City
interlagos,Autódromo José Carlos Pace,São Paulo
losail,Losail International Circuit,Al Daayen
jeddah,Jeddah Corniche Circuit,Jeddah
yas_marina,Yas Marina Circuit,Abu Dhabi
bahrain,Bahrain International Circuit,Sakhir
jeddah,Jeddah Corniche Circuit,Jeddah
albert_park,Albert Park Grand Prix Circuit,Melbourne
imola,Autodromo Enzo e Dino Ferrari,Imola
miami,Miami International Autodrome,Miami
catalunya,Circuit de Barcelona-Catalunya,Montmeló
monaco,Circuit de Monaco,Monte-Carlo
baku,Baku City Circuit,Baku
villeneuve,Circuit Gilles Villeneuve,Montreal
silverstone,Silverstone Circuit,Silverstone
red_bull_ring,Red Bull Ring,Spielberg
ricard,Circuit Paul Ricard,Le Castellet
hungaroring,Hungaroring,Budapest
spa,Circuit de Spa-Francorchamps,Spa
zandvoort,Circuit Park Zandvoort,Zandvoort
monza,Autodromo Nazionale di Monza,Monza
marina_bay,Marina Bay Street Circuit,Marina Bay
suzuka,Suzuka Circuit,Suzuka
americas,Circuit of the Americas,Austin
rodriguez,Autódromo Hermanos Rodríguez,Mexico City
interlagos,Autódromo José Carlos Pace,São Paulo
yas_marina,Yas Marina Circuit,Abu Dhabi
